Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
T 48006,T  48006 ,1,"Caste, caste conflict, and reservations / contributors, I.P.",Ishwarlal Pragji  Desai 00021229274,1985,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 49078,T  49078 ,1,Architecture in the Ajita_gama and the Raurava_gama :,"Dagens, Bruno.",1984,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
V 1348,V   1348 ,1,The Life of Sir Percy Cox ... With 16 illustrations and ...,"GRAVES, Philip Perceval.",1941,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
V 1009,V   1009 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
v 886,V    886 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
V 813,V    813 ,1,The Law of Patents in India in relation to Inventions. With,"ORMOND, Ernest Charles.",1936,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,Partial,0
V 694,V    694 ,1,Report on the development of the cattle and dairy industrie,"Wright, Norman, Sir, 1900-1970.",1937,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
V338,V    338 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Partial,0
V10/80,V     10 /     80 ,1,No Title Entered,No Author Entered,0,0,?,GEN,Unknown,Standard Access,Printed Books,,,0
T50889,T  50889 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 50847,T  50847 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 50742,T  50742 ,1,CATALOGE GB SHAW PAPERS SERIES II,BRITISH LIBRARY,1961,1961,,GEN,Probably in Copyright,Standard Access,Printed Books,08W06840P,,0
T 50329 (a),T  50329 (A),1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 50269 (c),T  50269 (C),1,Structural analysis and the concept of the “tale-type”.,Heda  Jason 00021219673,1972,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 49944,T  49944 ,1,Holding India to the empire : the British Conservative Party,Carl  Bridge 00021236003,1986,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 49676,T  49676 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
4956.k.21.,   4956 K     21 ,1,Winning the Soldier ... A brief sketch of the life and work,"LEGGAT, A. B.",1932,1932,,GEN,Probably in Copyright,Standard Access,Printed Books,10W17535P,Partial,0
T 41784,T  41784 ,1,Kashmir misgovernment /,"Thorp, Robert,",1980,0,,GEN,Probably in Copyright,Standard Access,Printed Books,6W181008P,,0
t40487,T  40487 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 27772,T  27772 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 32545,T  32545 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Partial,0
T35607,T  35607 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
06055.f.8.,   6055!F      8 ,1,"Detective&Secret Service Days. [With plates, including p...","WOODHALL, Edwin Thomas.",1929,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T35595,T  35595 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 35367,T  35367 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Partial,0
T 35139(c),T  35139 (C),1,"Report of the Prostitution Committee, Bombay.",Bombay (Presidency). Prostitution Committee.,1927,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
6281.p.,   6281 P,1,"[Reports of Cases ... from the year 1701, to ... 1779 ... B",ENGLAND. Parliament. House of Lords.,0,1854,9,GEN,Unknown,Standard Access,Printed Books,07W12338P,,0
T 32651,T  32651 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 31636,T  31636 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
t40047,T  40047 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 31589,T  31589 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 31321,T  31321 ,1,East India Company and Russia (1800-1857) /,"Terway, Vinodini.",1977,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,Partial,0
T31049,T  31049 ,1,CASTES TRIBES AND CULTURE OF INDIA.,Unknown 00021223210,6999,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 30158,T  30158 ,1,A descriptive account of Asam :,"Robinson, William,",1975,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,Partial,0
t 29729,T  29729 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 29309,T  29309 ,1,A voyage on the Indus :,"Burnes, Alexander.",1973,0,-,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 28666,T  28666 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
t35684,T  35684 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T36278,T  36278 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,Partial,0
T 36368,T  36368 ,1,No Title Entered,No Author Entered,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
T 36433,T  36433 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Full,0
T 39953,T  39953 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,Full,0
T 39907,T  39907 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Unknown,0
t 39484,T  39484 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,GEN,Unknown,Standard Access,Printed Books,,,0
