Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
C.39.k.17.,C     39 K     17 ,2,"Mr William Shakespear's Comedies, Histories, and Tragedies.","Shakespeare, William, 1564-1616",1685,1685,,RR2,Probably out of Copyright,,,11W37073P,Partial,3
798.c.24.,    798 C     24 ,2,"The Emigrant's Hand-book of Facts, concerning Canada, Ne...","BUTLER, Samuel,",1843,0,,EAR,Probably out of Copyright,,,,,3
798.c.33.,    798 C     33 ,2,"W.&P.'s Emigrant's guide, comprising advice and instruct...","WILEY, John,",1845,0,,EAR,Probably out of Copyright,,,,,3
C.194.a.507,C    194 A    507 ,3,"The Book of Household Management, etc. [With plates and ...","BEETON, Isabella Mary.",1861,0,,RR2,Probably out of Copyright,,,4W127816P,Partial,3
Mic.A.56/reel 21,MICA     56 /REEL     21 ,2,the myyrour of the church,,1521,0,,EAR,Probably out of Copyright,,,,,3
1189.d.10.,   1189 D     10 ,2,"A Treatise of Lithotomy; or, of the extraction of the st...","TOLET, Franc_ois,",1683,0,,EAR,Probably out of Copyright,,,4W120669P,Full,3
1189.d.10.,   1189 D     10 ,2,"A Treatise of Lithotomy; or, of the extraction of the st...","TOLET, Franc_ois,",1683,0,,EAR,Probably out of Copyright,,,4W120669P,Partial,3
1189.d.10.,   1189 D     10 ,2,"A Treatise of Lithotomy; or, of the extraction of the st...","TOLET, Franc_ois,",1683,0,,EAR,Probably out of Copyright,,,5W135687P,Full,3
C.194.a.1127,C    194 A   1127 ,2,The comic adventures of Old Mother Hubbard and her dog.,"Martin, Sarah Catherine, 1768-1826",1805,1805,,RR2,Probably out of Copyright,,,11W44363P,Full,3
1189.d.10.,   1189 D     10 ,2,"A Treatise of Lithotomy; or, of the extraction of the st...","TOLET, Franc_ois,",1683,0,,EAR,Probably out of Copyright,,,5W135687P,Partial,3
C.194.a.1127,C    194 A   1127 ,2,The comic adventures of Old Mother Hubbard and her dog.,"Martin, Sarah Catherine, 1768-1826",1805,1805,,RR2,Probably out of Copyright,,,11W44363P,Partial,3
574.m.13.,    574 M     13 ,2,Tableau de Paris ... Ouvrage illustre_ de quinze cents g...,"TEXIER, Edmond.",1852,0,,EAR,Probably out of Copyright,,,,Partial,3
717.m.3.,    717 M      3 ,3,J. Wolfii Lectionum Memorabilium et reconditarum Centenarii,"WOLFIUS, Joannes, Jurist.",1600,1600,2,EAR,Probably out of Copyright,,,09W08363P,Partial,3
1600/843.,   1600 /    843 ,2,"Le Conservateur. Journal politique, philosophique et litte",,1797,1797,,EAR,Probably out of Copyright,,,07W11936P,,3
Maps C.26.f.7.,MAPSC     26 F      7 ,2,[A Collection of Plans and Views of portions of the buildin,,1780,0,-,RM2,Probably out of Copyright,,,11W40219P,Full,3
469.g.6.,    469 G      6 ,2,"The Bible In Englyshe of The Largest and greatest volume, t",,1566,1566,,EAR,Probably out of Copyright,,,10W16134P,Partial,3
1295.i.4.,   1295 I      4 ,2,Stichtigh ABC tot nut den Jeuchd ghess door N. Boddink.,"BODDINK, Niklaas.",1639,0,,EAR,Probably out of Copyright,,,,,3
