Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
OMS/Add 16880,OMS/ADD  16880 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or.691,OMS/OR    691 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 685,OMS/OR    685 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 692,OMS/OR    692 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
ORB.99/161,ORB     99 /    161 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,Partial,3
ORB.99/161,ORB     99 /    161 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,Unknown,3
ORB.99/161,ORB     99 /    161 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,Full,3
OMS/Sloane 3584,OMS/SLOANE   3584 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/OR 14578,OMS/OR  14578 ,1,No Title Entered,No Author Entered,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/OR 14577,OMS/OR  14577 ,1,No Title Entered,No Author Entered,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 13993,OMS/OR  13993 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 13654,OMS/OR  13654 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
